k,21,c,201405201113
0,0.1,3,15,18
5.268332004547119,1.5651309490203857,1.7566828727722168,2.9918739795684814,65.14891815185547
5.206392765045166,27.027788162231445
1,drog,test,0,2.212695837020874
2,alej,test,0,0.8907408714294434
3,zima,test,0,2.1029560565948486
4,cast_ogor_1366,pietruszka,0,1.6718850135803223
5,pust_grus_1366,sałata,0,1.034769058227539
6,sad_labe_1366,sarna,0,3.2448160648345947
7,ogro_pozio_1366,kask,0,1.9981110095977783
8,kuch_skor_1366,pająk,0,1.5450689792633057
9,laka_pila_1366,lewarek,0,1.8592679500579834
10,morz_nied_1366,mewa,0,1.1715588569641113
11,las_papr_1366,cytryna,0,2.3595941066741943
12,gara_sala_1366,agrest,0,1.850672960281372
13,pole_komb_1366,lewarek,0,1.4987130165100098
14,wars_wrob_1366,tygrys,0,1.2402410507202148
15,jezi_srub_1366,sierp,0,1.751734972000122
16,stra_sarn_1366,komar,0,1.5697369575500488
17,gory_drab_1366,łopata,0,2.441926956176758
18,dom_los_1366,sokół,0,1.7896912097930908
