k,21,i,201405201532
0,0.1,3,15,18
28.980629205703735,4.083390951156616,3.2681870460510254,4.249298095703125,104.39928603172302
15.345648765563965,27.06057357788086
1,drog,test,0,11.651848793029785
2,zima,test,0,2.0979878902435303
3,alej,test,0,1.5958120822906494
4,sad_labe_1366,lis,0,2.8646697998046875
5,laka_pila_1366,piła,1,1.7356719970703125
6,cast_ogor_1366,jagody,0,1.9591059684753418
7,pust_grus_1366,sałata,0,2.0754759311676025
8,morz_nied_1366,niedźwiedź,1,1.7684669494628906
9,gory_drab_1366,piła,0,1.5401239395141602
10,dom_los_1366,owca,0,1.5524311065673828
11,pole_komb_1366,kombinerki,1,1.8974242210388184
12,kuch_skor_1366,rekin,0,1.380147933959961
13,ogro_pozio_1366,kask,0,1.8556389808654785
14,jezi_srub_1366,śrubokręt,1,1.6104998588562012
15,gara_sala_1366,agrest,0,1.6130650043487549
16,las_papr_1366,śliwka,0,2.1208419799804688
17,wars_wrob_1366,mysz,0,1.4409339427947998
18,stra_sarn_1366,sarna,1,1.646075963973999
