k,21,i,201405201455
0,0.1,3,15,18
43.312004804611206,6.986569166183472,3.387873888015747,2.7597038745880127,164.93096685409546
33.49930191040039,53.299086809158325
1,drog,test,0,13.253494024276733
2,zima,test,0,18.670989990234375
3,alej,test,0,1.5748178958892822
4,gory_drab_1366,kosiarka,0,2.3567700386047363
5,ogro_pozio_1366,poziomica,1,2.6580190658569336
6,morz_nied_1366,żmija,0,2.6747119426727295
7,pole_komb_1366,kombinerki,1,3.9790198802948
8,kuch_skor_1366,fenek,0,3.4610328674316406
9,jezi_srub_1366,łopata,0,2.863882064819336
10,dom_los_1366,zając,0,3.349287986755371
11,pust_grus_1366,gruszka,1,3.8675248622894287
12,las_papr_1366,papryka,1,3.73394513130188
13,laka_pila_1366,lewarek,0,4.168548822402954
14,cast_ogor_1366,ogórek,1,4.349377155303955
15,sad_labe_1366,komar,0,3.334557056427002
16,gara_sala_1366,sałata,1,4.006899833679199
17,stra_sarn_1366,komar,0,3.731879949569702
18,wars_wrob_1366,tygrys,0,4.763630151748657
