k,24,p,201405231203
0,0.1,3,15,18
0.3554260730743408,0.30231189727783203,3.9321069717407227,2.3658359050750732,125.88083600997925
33.147611141204834,64.3398118019104
1,alej,test,0,11.955563068389893
2,zima,test,0,17.42222309112549
3,drog,test,0,3.769824981689453
4,las_papr_1366,śliwka,0,5.789675951004028
5,kuch_skor_1366,pająk,0,2.244351863861084
6,ogro_pozio_1366,koparka,0,3.311055898666382
7,jezi_srub_1366,lupa,0,5.259375095367432
8,pust_grus_1366,marchew,0,3.7292490005493164
9,laka_pila_1366,piła,1,9.835432052612305
10,sad_labe_1366,komar,0,4.703293085098267
11,morz_nied_1366,mewa,0,3.3580830097198486
12,gara_sala_1366,burak,0,3.9056239128112793
13,pole_komb_1366,kombinerki,1,4.5568320751190186
14,wars_wrob_1366,mysz,0,2.045077085494995
15,cast_ogor_1366,burak,0,2.865104913711548
16,stra_sarn_1366,wiewiórka,0,4.682562828063965
17,dom_los_1366,łoś,1,4.017729043960571
18,gory_drab_1366,drabina,1,4.036365985870361
