k,21,c,201405221456
0,0.1,3,15,18
26.560688972473145,2.6986758708953857,3.018062114715576,2.615718126296997,176.6097137928009
44.12855672836304,76.0809440612793
1,zima,test,0,33.668046951293945
2,drog,test,0,5.204064846038818
3,alej,test,0,5.256444931030273
4,cast_ogor_1366,pietruszka,0,4.02311110496521
5,jezi_srub_1366,lupa,0,4.960861921310425
6,morz_nied_1366,mewa,0,3.4108030796051025
7,gara_sala_1366,burak,0,4.894384145736694
8,gory_drab_1366,drabina,1,6.348618030548096
9,wars_wrob_1366,szczur,0,4.321793079376221
10,ogro_pozio_1366,piła,0,4.931323051452637
11,pole_komb_1366,szlifierka,0,6.56524395942688
12,las_papr_1366,kapusta,0,5.653781890869141
13,dom_los_1366,sokół,0,5.54961085319519
14,sad_labe_1366,komar,0,3.5049290657043457
15,laka_pila_1366,piła,1,7.926581144332886
16,kuch_skor_1366,pająk,0,3.1206350326538086
17,stra_sarn_1366,wiewiórka,0,6.530099868774414
18,pust_grus_1366,sałata,0,4.339167833328247
