k,22,i,201405201559
0,0.1,3,15,18
21.47154211997986,4.71955680847168,4.173289060592651,2.8955740928649902,107.92745590209961
13.962043285369873,39.326481103897095
1,drog,test,0,8.966078996658325
2,alej,test,0,1.9837582111358643
3,zima,test,0,3.0122060775756836
4,gory_drab_1366,kosiarka,0,3.0153770446777344
5,ogro_pozio_1366,poziomica,1,3.293139934539795
6,wars_wrob_1366,mysz,0,3.8775699138641357
7,jezi_srub_1366,miotła,0,3.192888021469116
8,laka_pila_1366,piła,1,3.555004119873047
9,pole_komb_1366,śrubokręt,0,1.8952040672302246
10,pust_grus_1366,sałata,0,3.686739921569824
11,gara_sala_1366,agrest,0,2.3194220066070557
12,stra_sarn_1366,borsuk,0,1.9768950939178467
13,cast_ogor_1366,burak,0,2.8973240852355957
14,dom_los_1366,żubr,0,2.100794792175293
15,las_papr_1366,cytryna,0,2.546137809753418
16,kuch_skor_1366,rekin,0,1.8017899990081787
17,sad_labe_1366,komar,0,1.4157521724700928
18,morz_nied_1366,niedźwiedź,1,1.7524421215057373
