k,22,i,201405201557
0,0.1,3,15,18
26.76582098007202,3.2211339473724365,3.0163869857788086,2.000361204147339,125.41510605812073
16.094985961914062,52.90652942657471
1,alej,test,0,9.163579940795898
2,zima,test,0,4.01557993888855
3,drog,test,0,2.9158260822296143
4,ogro_pozio_1366,piła,0,3.383507013320923
5,morz_nied_1366,mewa,0,2.2949202060699463
6,dom_los_1366,zając,0,3.9905030727386475
7,gory_drab_1366,łopata,0,4.762330055236816
8,cast_ogor_1366,pietruszka,0,2.697118043899536
9,stra_sarn_1366,komar,0,4.570647954940796
10,kuch_skor_1366,rekin,0,3.170229196548462
11,sad_labe_1366,komar,0,3.130213975906372
12,pole_komb_1366,lewarek,0,3.2623400688171387
13,laka_pila_1366,piła,1,4.862086772918701
14,pust_grus_1366,marchew,0,3.158668041229248
15,gara_sala_1366,ogórek,0,5.532536029815674
16,wars_wrob_1366,mysz,0,2.092561960220337
17,las_papr_1366,ogórek,0,2.4013450145721436
18,jezi_srub_1366,sierp,0,3.597522020339966
