k,23,p,201405231215
0,0.1,3,15,18
15.30135703086853,2.462307929992676,3.57148814201355,1.9917290210723877,97.91549301147461
10.381803750991821,42.779271841049194
1,drog,test,0,3.199652910232544
2,alej,test,0,3.7272839546203613
3,zima,test,0,3.454866886138916
4,cast_ogor_1366,burak,0,2.4374430179595947
5,stra_sarn_1366,sarna,1,3.537306070327759
6,wars_wrob_1366,koń,0,2.153329849243164
7,gory_drab_1366,drabina,1,2.961745023727417
8,pust_grus_1366,winogrona,0,2.277163028717041
9,morz_nied_1366,mewa,0,1.9407808780670166
10,gara_sala_1366,ogórek,0,4.392312049865723
11,jezi_srub_1366,lupa,0,3.6976568698883057
12,las_papr_1366,śliwka,0,2.8402979373931885
13,ogro_pozio_1366,piła,0,2.865186929702759
14,sad_labe_1366,lis,0,3.182236909866333
15,pole_komb_1366,szlifierka,0,2.859251022338867
16,kuch_skor_1366,fenek,0,2.7930541038513184
17,laka_pila_1366,lewarek,0,3.1942880153656006
18,dom_los_1366,sokół,0,1.6472201347351074
