m,21,c,201405231125
0,0.1,3,15,18
71.15746998786926,14.790162086486816,23.231337070465088,2.927147150039673,202.7611789703369
44.392651081085205,24.730421781539917
1,alej,test,0,22.963621139526367
2,drog,test,0,16.4742169380188
3,zima,test,0,4.954813003540039
4,sad_labe_1366,łabędź,1,2.219182014465332
5,kuch_skor_1366,fenek,0,1.8484399318695068
6,morz_nied_1366,niedźwiedź,1,2.3948161602020264
7,las_papr_1366,śliwka,0,1.8923170566558838
8,stra_sarn_1366,wiewiórka,0,1.762592077255249
9,cast_ogor_1366,jagody,0,2.069154977798462
10,ogro_pozio_1366,piła,0,1.4536941051483154
11,gory_drab_1366,łopata,0,1.2924909591674805
12,pole_komb_1366,szlifierka,0,1.6351819038391113
13,dom_los_1366,zając,0,1.5661468505859375
14,gara_sala_1366,agrest,0,1.538003921508789
15,laka_pila_1366,imadło,0,1.5218849182128906
16,wars_wrob_1366,tygrys,0,1.4305880069732666
17,jezi_srub_1366,sierp,0,1.0926549434661865
18,pust_grus_1366,pomidor,0,1.0132739543914795
