m,26,c,201405201043
0,0.1,3,15,18
16.718313932418823,2.839257001876831,2.1190829277038574,2.0601859092712402,70.6040620803833
6.459073781967163,19.17219114303589
1,alej,test,0,4.9848549365997314
2,zima,test,0,1.0153717994689941
3,drog,test,0,0.4588470458984375
4,ogro_pozio_1366,piła,0,3.325326919555664
5,jezi_srub_1366,miotła,0,3.86981201171875
6,stra_sarn_1366,zając,0,2.079223871231079
7,pole_komb_1366,szlifierka,0,0.4279930591583252
8,laka_pila_1366,wkrętarka,0,0.3613560199737549
9,gara_sala_1366,sałata,1,1.4327030181884766
10,las_papr_1366,śliwka,0,0.8766210079193115
11,wars_wrob_1366,tygrys,0,1.1975131034851074
12,dom_los_1366,łoś,1,1.2716729640960693
13,cast_ogor_1366,pietruszka,0,0.8836359977722168
14,kuch_skor_1366,fenek,0,0.8327021598815918
15,pust_grus_1366,gruszka,1,0.7661850452423096
16,sad_labe_1366,sarna,0,0.5691530704498291
17,morz_nied_1366,jeż,0,0.6586449146270752
18,gory_drab_1366,drabina,1,0.6196479797363281
