m,21,300420141647
0.05,3
23.054203033447266,5.025802135467529,8.095416069030762,2.9654958248138428,136.94188499450684
16.9840087890625,60.285829067230225
1,drog,test,0,7.308795928955078
2,zima,test,0,4.306159973144531
3,alej,test,0,5.369052886962891
4,morz_nied_1366,żmija,0,1.9454288482666016
5,sad_labe_1366,lis,0,2.7409250736236572
6,wars_wrob_1366,"mysz, ",0,5.1175689697265625
7,las_papr_1366,śliwka,0,3.6471080780029297
8,gara_sala_1366,sałata,1,3.4765801429748535
9,stra_sarn_1366,zając,0,4.970088958740234
10,pust_grus_1366,sałata,0,4.57364296913147
11,pole_komb_1366,śrubokręt,0,1.7063519954681396
12,gory_drab_1366,drabina,1,3.257050037384033
13,laka_pila_1366,piła,1,3.9618208408355713
14,dom_los_1366,łoś,1,6.637816905975342
15,cast_ogor_1366,pietruszka,0,2.961245059967041
16,kuch_skor_1366,skorpion,1,5.50361704826355
17,jezi_srub_1366,śrubokręt,1,3.329308032989502
18,ogro_pozio_1366,poziomica,1,6.457276105880737
