k,22,c,201405221453
1,0.1,3,15,18
42.394274950027466,2.8846540451049805,3.043529987335205,2.749605894088745,140.94949007034302
26.549973011016846,41.911882638931274
1,zima,test,0,17.31714916229248
2,drog,test,0,5.351886987686157
3,alej,test,0,3.880936861038208
4,stra_sarn_1366,wiewiórka,0,3.207412004470825
5,morz_nied_1366,mewa,0,5.113725185394287
6,cast_ogor_1366,ogórek,1,3.017777919769287
7,las_papr_1366,cytryna,0,2.7875399589538574
8,dom_los_1366,zając,0,2.8390629291534424
9,gara_sala_1366,sałata,1,2.9624311923980713
10,pole_komb_1366,lewarek,0,2.6658570766448975
11,kuch_skor_1366,fenek,0,3.2314000129699707
12,sad_labe_1366,lis,0,1.3341400623321533
13,laka_pila_1366,piła,1,2.548039197921753
14,wars_wrob_1366,koń,0,1.5547411441802979
15,jezi_srub_1366,łopata,0,2.1487700939178467
16,gory_drab_1366,drabina,1,3.1645569801330566
17,ogro_pozio_1366,koparka,0,2.2478249073028564
18,pust_grus_1366,pomidor,0,3.088603973388672
