k,22,c,201405201106
1,0.1,3,15,18
44.025249004364014,3.1114449501037598,20.067065954208374,2.399282932281494,185.82248902320862
40.829503297805786,53.87217044830322
1,zima,test,0,14.484955072402954
2,drog,test,0,24.813392162322998
3,alej,test,0,1.531156063079834
4,gory_drab_1366,łopata,0,2.5488390922546387
5,stra_sarn_1366,zając,0,3.044842004776001
6,gara_sala_1366,ogórek,0,5.395845890045166
7,morz_nied_1366,mewa,0,3.7480831146240234
8,las_papr_1366,ogórek,0,4.53668999671936
9,jezi_srub_1366,lupa,0,2.7501060962677
10,cast_ogor_1366,pietruszka,0,3.986402988433838
11,wars_wrob_1366,wróbel,1,3.547703981399536
12,laka_pila_1366,piła,1,4.300585985183716
13,dom_los_1366,zając,0,2.1562139987945557
14,kuch_skor_1366,pająk,0,2.188505172729492
15,sad_labe_1366,komar,0,4.315152883529663
16,pole_komb_1366,piła,0,3.8074021339416504
17,pust_grus_1366,winogrona,0,5.085721969604492
18,ogro_pozio_1366,piła,0,2.4600751399993896
