k,22,c,201405221451
1,0.1,3,15,18
30.295302867889404,16.114379167556763,6.586045980453491,4.785559892654419,90.27294206619263
2.2472102642059326,8.885631084442139
1,drog,test,0,0.7654321193695068
2,zima,test,0,0.9728071689605713
3,alej,test,0,0.5089709758758545
4,gory_drab_1366,kosiarka,0,0.6969168186187744
5,laka_pila_1366,lewarek,0,1.2354519367218018
6,ogro_pozio_1366,kask,0,0.8678109645843506
7,pole_komb_1366,lewarek,0,0.4738941192626953
8,stra_sarn_1366,borsuk,0,0.5007948875427246
9,morz_nied_1366,koza,0,0.5564661026000977
10,sad_labe_1366,łabędź,1,0.4715101718902588
11,dom_los_1366,sokół,0,0.34537410736083984
12,gara_sala_1366,sałata,1,0.409959077835083
13,pust_grus_1366,pomidor,0,0.5122559070587158
14,las_papr_1366,papryka,1,0.39426398277282715
15,wars_wrob_1366,wróbel,1,0.564939022064209
16,jezi_srub_1366,lupa,0,0.5015268325805664
17,kuch_skor_1366,skorpion,1,0.5534131526947021
18,cast_ogor_1366,jagody,0,0.8010540008544922
