k,18,c,201405221517
1,0.1,3,15,18
21.451376914978027,3.5447230339050293,2.758331060409546,2.2217540740966797,105.42669796943665
9.340634107589722,44.73239207267761
1,zima,test,0,3.003218173980713
2,drog,test,0,3.2467119693756104
3,alej,test,0,3.0907039642333984
4,cast_ogor_1366,burak,0,2.781470775604248
5,stra_sarn_1366,zając,0,3.7912981510162354
6,ogro_pozio_1366,kilof,0,3.852123975753784
7,pust_grus_1366,marchew,0,2.3117411136627197
8,jezi_srub_1366,łopata,0,4.258717060089111
9,gara_sala_1366,agrest,0,2.454900026321411
10,pole_komb_1366,lewarek,0,2.8391129970550537
11,kuch_skor_1366,pająk,0,2.0906269550323486
12,laka_pila_1366,imadło,0,4.337013006210327
13,gory_drab_1366,grabie,0,1.0889019966125488
14,wars_wrob_1366,mysz,0,4.3366899490356445
15,las_papr_1366,kapusta,0,3.3313210010528564
16,dom_los_1366,sokół,0,3.0669760704040527
17,sad_labe_1366,lis,0,2.158889055252075
18,morz_nied_1366,mewa,0,2.0326099395751953
